CHAVEAMENTO COMPLETO — Todas as Temporadas e Rounds,,
,,
TEMPORADA 1,,
CONF. OESTE — 1ª Rodada,,
New Orleans Bukais,4-1,Anaheim Nu-Metalheads
Honolulu Tides,4-2,Colorado Wildcats
Anchorage Mammoths,4-1,Minnesota Vikings
Memphis River Rougarou,4-1,Fresno Emos
CONF. OESTE — Semifinal,,
New Orleans Bukais,4-2,Honolulu Tides
Memphis River Rougarou,4-2,Anchorage Mammoths
CONF. OESTE — Final de Conferência,,
Memphis River Rougarou,4-1,New Orleans Bukais
CONF. LESTE — 1ª Rodada,,
Columbus Sun Warriors,4-1,Baltimore Black Raven
Philadelphia Cheeseheads,4-0,Brooklyn Breakbeats
Washburn White Walkers,4-1,Indiana Mindflayers
Cleveland Headliners,4-1,Miami Hurris
CONF. LESTE — Semifinal,,
Columbus Sun Warriors,4-1,Philadelphia Cheeseheads
Washburn White Walkers,4-2,Cleveland Headliners
CONF. LESTE — Final de Conferência,,
Columbus Sun Warriors,4-1,Washburn White Walkers
NBA FINALS,,
Memphis River Rougarou,4-3,Columbus Sun Warriors
,,
TEMPORADA 2,,
CONF. OESTE — 1ª Rodada,,
Memphis River Rougarou,4-2,Nashville Steves
Anchorage Mammoths,4-2,New Orleans Bukais
Colorado Wildcats,4-1,Vancouver Yetis
Honolulu Tides,4-0,Minnesota Vikings
CONF. OESTE — Semifinal,,
Memphis River Rougarou,4-0,Anchorage Mammoths
Honolulu Tides,4-2,Colorado Wildcats
CONF. OESTE — Final de Conferência,,
Memphis River Rougarou,4-2,Honolulu Tides
CONF. LESTE — 1ª Rodada,,
Philadelphia Cheeseheads,4-0,Alameda Rangers
Cleveland Headliners,4-1,Columbus Sun Warriors
Washburn White Walkers,4-2,Baltimore Black Raven
Brooklyn Breakbeats,4-0,Indiana Mindflayers
CONF. LESTE — Semifinal,,
Philadelphia Cheeseheads,4-0,Cleveland Headliners
Washburn White Walkers,4-0,Brooklyn Breakbeats
CONF. LESTE — Final de Conferência,,
Washburn White Walkers,4-2,Philadelphia Cheeseheads
NBA FINALS,,
Washburn White Walkers,4-1,Memphis River Rougarou
,,
TEMPORADA 3,,
CONF. OESTE — 1ª Rodada,,
Memphis River Rougarou,4-2,Fresno Emos
Minnesota Vikings,4-2,Anchorage Mammoths
Vancouver Yetis,4-1,New Orleans Bukais
Colorado Wildcats,4-0,Nashville Steves
CONF. OESTE — Semifinal,,
Memphis River Rougarou,4-0,Minnesota Vikings
Colorado Wildcats,4-2,Vancouver Yetis
CONF. OESTE — Final de Conferência,,
Colorado Wildcats,4-2,Memphis River Rougarou
CONF. LESTE — 1ª Rodada,,
Philadelphia Cheeseheads,4-0,Baltimore Black Raven
Chicago Rail Foxes,4-2,Jacksonville Tidebreakers
Alameda Rangers,4-2,Indiana Mindflayers
Buffalo Berserkers,4-3,Washburn White Walkers
CONF. LESTE — Semifinal,,
Philadelphia Cheeseheads,4-3,Chicago Rail Foxes
Alameda Rangers,4-3,Buffalo Berserkers
CONF. LESTE — Final de Conferência,,
Philadelphia Cheeseheads,4-1,Alameda Rangers
NBA FINALS,,
Philadelphia Cheeseheads,4-0,Colorado Wildcats
,,
TEMPORADA 4,,
CONF. OESTE — 1ª Rodada,,
Calgary Mustang Riders,4-1,Anchorage Mammoths
Minnesota Vikings,4-3,Vancouver Yetis
Anaheim Nu-Metalheads,4-1,New Orleans Bukais
Colorado Wildcats,4-3,Memphis River Rougarou
CONF. OESTE — Semifinal,,
Calgary Mustang Riders,4-0,Minnesota Vikings
Anaheim Nu-Metalheads,4-1,Colorado Wildcats
CONF. OESTE — Final de Conferência,,
Calgary Mustang Riders,4-2,Anaheim Nu-Metalheads
CONF. LESTE — 1ª Rodada,,
Philadelphia Cheeseheads,4-0,Alameda Rangers
Buffalo Berserkers,4-0,Washburn White Walkers
Chicago Rail Foxes,4-2,Indiana Mindflayers
Boston Night Riders,4-2,Richmond Greyhounds
CONF. LESTE — Semifinal,,
Philadelphia Cheeseheads,4-2,Buffalo Berserkers
Chicago Rail Foxes,4-1,Boston Night Riders
CONF. LESTE — Final de Conferência,,
Chicago Rail Foxes,4-2,Philadelphia Cheeseheads
NBA FINALS,,
Calgary Mustang Riders,4-2,Chicago Rail Foxes
,,
TEMPORADA 5,,
CONF. OESTE — 1ª Rodada,,
Calgary Mustang Riders,4-0,New Orleans Bukais
Minnesota Vikings,4-0,Colorado Wildcats
Vancouver Yetis,4-2,Honolulu Tides
Nashville Steves,4-3,Anaheim Nu-Metalheads
CONF. OESTE — Semifinal,,
Calgary Mustang Riders,4-1,Minnesota Vikings
Nashville Steves,4-2,Vancouver Yetis
CONF. OESTE — Final de Conferência,,
Calgary Mustang Riders,4-1,Nashville Steves
CONF. LESTE — 1ª Rodada,,
Chicago Rail Foxes,4-1,Jacksonville Tidebreakers
Buffalo Berserkers,4-0,Washburn White Walkers
Philadelphia Cheeseheads,4-0,Indiana Mindflayers
Boston Night Riders,4-2,Richmond Greyhounds
CONF. LESTE — Semifinal,,
Buffalo Berserkers,4-3,Chicago Rail Foxes
Philadelphia Cheeseheads,4-2,Boston Night Riders
CONF. LESTE — Final de Conferência,,
Philadelphia Cheeseheads,4-3,Buffalo Berserkers
NBA FINALS,,
Philadelphia Cheeseheads,4-2,Calgary Mustang Riders
,,
TEMPORADA 6,,
CONF. OESTE — 1ª Rodada,,
Calgary Mustang Riders,4-1,Alameda Rangers
New Orleans Bukais,4-2,Minnesota Vikings
Anaheim Nu-Metalheads,4-3,Honolulu Tides
Vancouver Yetis,4-1,Colorado Wildcats
CONF. OESTE — Semifinal,,
Calgary Mustang Riders,4-1,New Orleans Bukais
Anaheim Nu-Metalheads,4-0,Vancouver Yetis
CONF. OESTE — Final de Conferência,,
Anaheim Nu-Metalheads,4-0,Calgary Mustang Riders
CONF. LESTE — 1ª Rodada,,
Buffalo Berserkers,4-0,New York Hustles
Philadelphia Cheeseheads,4-2,Richmond Greyhounds
Chicago Rail Foxes,4-0,Indiana Mindflayers
Boston Night Riders,4-0,Nashville Steves
CONF. LESTE — Semifinal,,
Philadelphia Cheeseheads,4-3,Buffalo Berserkers
Chicago Rail Foxes,4-1,Boston Night Riders
CONF. LESTE — Final de Conferência,,
Chicago Rail Foxes,4-3,Philadelphia Cheeseheads
NBA FINALS,,
Anaheim Nu-Metalheads,4-3,Chicago Rail Foxes
,,
TEMPORADA 7,,
CONF. OESTE — 1ª Rodada,,
Colorado Wildcats,4-0,Minnesota Vikings
Vancouver Yetis,4-3,Calgary Mustang Riders
Alameda Rangers,4-2,Anaheim Nu-Metalheads
Honolulu Tides,4-0,Mesa Oracles
CONF. OESTE — Semifinal,,
Colorado Wildcats,4-3,Vancouver Yetis
Honolulu Tides,4-2,Alameda Rangers
CONF. OESTE — Final de Conferência,,
Colorado Wildcats,4-0,Honolulu Tides
CONF. LESTE — 1ª Rodada,,
Chicago Rail Foxes,4-2,Richmond Greyhounds
Boston Night Riders,4-2,Indiana Mindflayers
Buffalo Berserkers,4-3,Detroit Hellhounds
Philadelphia Cheeseheads,4-3,Nashville Steves
CONF. LESTE — Semifinal,,
Boston Night Riders,4-3,Chicago Rail Foxes
Buffalo Berserkers,4-2,Philadelphia Cheeseheads
CONF. LESTE — Final de Conferência,,
Buffalo Berserkers,4-3,Boston Night Riders
NBA FINALS,,
Colorado Wildcats,4-2,Buffalo Berserkers
,,
TEMPORADA 8,,
CONF. OESTE — 1ª Rodada,,
Colorado Wildcats,4-1,Calgary Mustang Riders
Vancouver Yetis,4-0,Anchorage Mammoths
Mesa Oracles,4-2,Anaheim Nu-Metalheads
Honolulu Tides,4-2,Alameda Rangers
CONF. OESTE — Semifinal,,
Colorado Wildcats,4-0,Vancouver Yetis
Honolulu Tides,4-1,Mesa Oracles
CONF. OESTE — Final de Conferência,,
Colorado Wildcats,4-1,Honolulu Tides
CONF. LESTE — 1ª Rodada,,
Boston Night Riders,4-0,Detroit Hellhounds
Nashville Steves,4-1,Indiana Mindflayers
New York Hustles,4-2,Buffalo Berserkers
Chicago Rail Foxes,4-1,Richmond Greyhounds
CONF. LESTE — Semifinal,,
Boston Night Riders,4-1,Nashville Steves
Chicago Rail Foxes,4-3,New York Hustles
CONF. LESTE — Final de Conferência,,
Boston Night Riders,4-0,Chicago Rail Foxes
NBA FINALS,,
Colorado Wildcats,4-1,Boston Night Riders
,,
TEMPORADA 9,,
CONF. OESTE — 1ª Rodada,,
Anaheim Nu-Metalheads,4-3,Alameda Rangers
Mesa Oracles,4-0,Honolulu Tides
Colorado Wildcats,4-3,Albuquerque Blue Diamonds
Calgary Mustang Riders,4-2,Anchorage Mammoths
CONF. OESTE — Semifinal,,
Anaheim Nu-Metalheads,4-0,Mesa Oracles
Colorado Wildcats,4-3,Calgary Mustang Riders
CONF. OESTE — Final de Conferência,,
Colorado Wildcats,4-1,Anaheim Nu-Metalheads
CONF. LESTE — 1ª Rodada,,
Cleveland Headliners,4-0,Chicago Rail Foxes
Nashville Steves,4-2,Detroit Hellhounds
Boston Night Riders,4-0,New York Hustles
Portland Prost,4-1,Buffalo Berserkers
CONF. LESTE — Semifinal,,
Nashville Steves,4-2,Cleveland Headliners
Boston Night Riders,4-2,Portland Prost
CONF. LESTE — Final de Conferência,,
Nashville Steves,4-2,Boston Night Riders
NBA FINALS,,
Colorado Wildcats,4-2,Nashville Steves
,,
TEMPORADA 10,,
CONF. OESTE — 1ª Rodada,,
Honolulu Tides,4-3,Calgary Mustang Riders
Alameda Rangers,4-0,Albuquerque Blue Diamonds
Anaheim Nu-Metalheads,4-2,Portland Prost
Colorado Wildcats,4-3,Anchorage Mammoths
CONF. OESTE — Semifinal,,
Honolulu Tides,4-1,Alameda Rangers
Colorado Wildcats,4-3,Anaheim Nu-Metalheads
CONF. OESTE — Final de Conferência,,
Colorado Wildcats,4-2,Honolulu Tides
CONF. LESTE — 1ª Rodada,,
New York Hustles,4-1,Indiana Mindflayers
Buffalo Berserkers,4-2,Chicago Rail Foxes
Nashville Steves,4-0,Detroit Hellhounds
Cleveland Headliners,4-2,Boston Night Riders
CONF. LESTE — Semifinal,,
New York Hustles,4-2,Buffalo Berserkers
Nashville Steves,4-1,Cleveland Headliners
CONF. LESTE — Final de Conferência,,
New York Hustles,4-1,Nashville Steves
NBA FINALS,,
New York Hustles,4-2,Colorado Wildcats
,,
TEMPORADA 11,,
CONF. OESTE — 1ª Rodada,,
Calgary Mustang Riders,4-1,Portland Prost
Honolulu Tides,4-0,Alameda Rangers
Anchorage Mammoths,4-0,Mesa Oracles
Colorado Wildcats,4-0,Albuquerque Blue Diamonds
CONF. OESTE — Semifinal,,
Honolulu Tides,4-0,Calgary Mustang Riders
Colorado Wildcats,4-0,Anchorage Mammoths
CONF. OESTE — Final de Conferência,,
Honolulu Tides,4-1,Colorado Wildcats
CONF. LESTE — 1ª Rodada,,
Buffalo Berserkers,4-1,Washburn White Walkers
Chicago Rail Foxes,4-1,Cleveland Headliners
New York Hustles,4-2,Nashville Steves
Boston Night Riders,4-2,Jacksonville Tidebreakers
CONF. LESTE — Semifinal,,
Buffalo Berserkers,4-3,Chicago Rail Foxes
Boston Night Riders,4-0,New York Hustles
CONF. LESTE — Final de Conferência,,
Buffalo Berserkers,4-2,Boston Night Riders
NBA FINALS,,
Honolulu Tides,4-3,Buffalo Berserkers